toCheck,checked,checkedOld,checkedAlt,explanation,wordType,originalWordGender,originalWordNumb,wordID
acteur,acteur‧trice,acteur‧trice,2265,Le nom commun est remplacé par son équivalent non genré.,nom commun,m,s,1
actrice,acteur‧trice,acteur‧trice,,Le nom commun est remplacé par son équivalent non genré.,nom commun,f,s,2
ami,ami‧e,ami‧e,,Le nom commun est remplacé par son équivalent non genré.,nom commun,m,s,3
amie,ami‧e,ami‧e,,Le nom commun est remplacé par son équivalent non genré.,nom commun,f,s,4
amies,ami‧e‧s,ami‧e‧s,,Le nom commun est remplacé par son équivalent non genré.,nom commun,f,p,5
amis,ami‧e‧s,ami‧e‧s,,Le nom commun est remplacé par son équivalent non genré.,nom commun,m,p,6
auteur,auteur‧e,auteur‧trice,,Le nom commun est remplacé par son équivalent non genré.,nom commun,m,s,7
auteure,auteur‧e,,,Le nom commun est remplacé par son équivalent non genré.,nom commun,f,s,8
beau,beau‧belle,beau‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,9
belle,beau‧belle,bel‧le,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,10
chanteur,chanteur‧euse,chanteur‧trice,,Le nom commun est remplacé par son équivalent non genré.,nom commun,m,s,11
chanteuse,chanteur‧euse,chanteur‧teuse,,Le nom commun est remplacé par son équivalent non genré.,nom commun,f,s,12
concerné,concerné‧e,concerné‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,13
concernée,concerné‧e,concerné‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,14
concernées,concerné‧e‧s,concerné‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,15
concernés,concerné‧e‧s,concerné‧e‧s,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,16
connecté,connecté‧e,connecté‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,17
connectée,connecté‧e,connecté‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,18
copain,copain‧ine,copain‧e,,Le nom commun est remplacé par son équivalent non genré.,nom commun,m,s,19
copine,copain‧ine,copin‧e,,Le nom commun est remplacé par son équivalent non genré.,nom commun,f,s,20
lui,ellui,lui‧e,,Le pronom est remplacé par son alternative non genrée,pronom,m,s,21
établi,établi‧e,établi‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,22
établie,établi‧e,établi‧e,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,23
heureuse,heureux‧se,heureux‧euse,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,s,24
heureuses,heureux‧ses,heureux‧euses,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,f,p,25
heureux,heureux‧se,heureux‧euse,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,s,26
heureux,,heureux‧euses,,L'adjectif est remplacé par son équivalent inclusif.,adjectif,m,p,27
elle,iel,el‧le,,Le pronom est remplacé par son alternative non genrée,pronom,f,s,28
